"exam","teacher","course","section","file","ext","sizeBytes","path"
"giao-tiep","misc","general","general","REVIEW AND PRACTICE CHAPTER 1.pdf",".pdf","917648","courses\giao-tiep\misc\general\general\REVIEW AND PRACTICE CHAPTER 1.pdf"
"giao-tiep","misc","general","general","REVIEW AND PRACTICE CHAPTER 2.pdf",".pdf","244186","courses\giao-tiep\misc\general\general\REVIEW AND PRACTICE CHAPTER 2.pdf"
"giao-tiep","misc","general","general","REVIEW AND PRACTICE CHAPTER 3.pdf",".pdf","95022","courses\giao-tiep\misc\general\general\REVIEW AND PRACTICE CHAPTER 3.pdf"
"giao-tiep","misc","general","general","REVIEW AND PRACTICE CHAPTER 4.pdf",".pdf","200978","courses\giao-tiep\misc\general\general\REVIEW AND PRACTICE CHAPTER 4.pdf"
"giao-tiep","misc","general","general","REVIEW AND PRACTICE CHAPTER 5.pdf",".pdf","225956","courses\giao-tiep\misc\general\general\REVIEW AND PRACTICE CHAPTER 5.pdf"
"giao-tiep","misc","general","general","TiengAnhGiaoTiepThuongNgay-HannahPham.pdf",".pdf","19743522","courses\giao-tiep\misc\general\general\TiengAnhGiaoTiepThuongNgay-HannahPham.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","ACTUAL-TEST-AUGUTS-TO-NOVEMBER-MATERIAL","IELTS_Academic_Reading_October_November_2022_@original exams.pdf",".pdf","5465237","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\ACTUAL-TEST-AUGUTS-TO-NOVEMBER-MATERIAL\IELTS_Academic_Reading_October_November_2022_@original exams.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","ACTUAL-TEST-AUGUTS-TO-NOVEMBER-MATERIAL","IELTS_Listening_August_November_2022_ORIGINAL EXAMS.pdf",".pdf","3247165","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\ACTUAL-TEST-AUGUTS-TO-NOVEMBER-MATERIAL\IELTS_Listening_August_November_2022_ORIGINAL EXAMS.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","general","CÁC GÓI DỰ ĐOÁN PAGE CUNG CẤP.pdf",".pdf","1119803","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\general\CÁC GÓI DỰ ĐOÁN PAGE CUNG CẤP.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 1.pdf",".pdf","3866187","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 1.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","test 10.pdf",".pdf","436058","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\test 10.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 2.pdf",".pdf","3884480","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 2.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 3.pdf",".pdf","355128","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 3.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 4 .pdf",".pdf","530079","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 4 .pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 5.pdf",".pdf","2819530","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 5.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 6.pdf",".pdf","4132280","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 6.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 7.pdf",".pdf","5393517","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 7.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 8.pdf",".pdf","4425653","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 8.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening","Test 9.pdf",".pdf","2356316","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening\Test 9.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-1","p1.pdf",".pdf","215013","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-1\p1.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-1","p2.pdf",".pdf","224526","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-1\p2.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-1","p3.pdf",".pdf","187214","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-1\p3.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-1","p4.pdf",".pdf","78816","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-1\p4.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-10","p1 (7).pdf",".pdf","91424","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-10\p1 (7).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-10","P2 (8).pdf",".pdf","92396","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-10\P2 (8).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-10","p3 (8).pdf",".pdf","111703","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-10\p3 (8).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-10","p4 (7).pdf",".pdf","102694","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-10\p4 (7).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-2","p1 (1).pdf",".pdf","164347","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-2\p1 (1).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-2","p2 (1).pdf",".pdf","212015","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-2\p2 (1).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-2","p3 (1).pdf",".pdf","218987","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-2\p3 (1).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-2","p4 (1).pdf",".pdf","77004","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-2\p4 (1).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-3","P1 (2).pdf",".pdf","202071","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-3\P1 (2).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-3","P2 (2).pdf",".pdf","190498","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-3\P2 (2).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-3","P3 (2).pdf",".pdf","230709","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-3\P3 (2).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-3","P4 (2).pdf",".pdf","221535","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-3\P4 (2).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-4","p1 (3).pdf",".pdf","202605","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-4\p1 (3).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-4","p2 (3).pdf",".pdf","211187","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-4\p2 (3).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-4","P3 (3).pdf",".pdf","234352","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-4\P3 (3).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-4","p4 (3).pdf",".pdf","206736","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-4\p4 (3).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-5","p1 (4).pdf",".pdf","190753","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-5\p1 (4).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-5","p2 (4).pdf",".pdf","182737","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-5\p2 (4).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-5","p3 (4).pdf",".pdf","203320","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-5\p3 (4).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-5","P4 (4).pdf",".pdf","195443","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-5\P4 (4).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-6","p1 (5).pdf",".pdf","200327","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-6\p1 (5).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-6","p2 (5).pdf",".pdf","194569","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-6\p2 (5).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-6","p3 (5).pdf",".pdf","204644","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-6\p3 (5).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-6","P4 (5).pdf",".pdf","220349","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-6\P4 (5).pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-8","p1 (6) - Copy.pdf",".pdf","200349","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-8\p1 (6) - Copy.pdf"
"ielts","EnglishHUB","BO-E-IELTS-GOC-Real-exams","Listening--Transcripts--test-8","P2 (6) - Copy.pdf",".pdf","193344","courses\ielts\EnglishHUB\BO-E-IELTS-GOC-Real-exams\Listening--Transcripts--test-8\P2 (6) - Copy.pdf"
